log_text,label
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
User logged in successfully from internal IP.,Benign
User logged in successfully from internal IP.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Service network-manager started successfully.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Disk cleanup freed 2.4GB.,Benign
System update completed with no errors.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Service network-manager started successfully.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Disk cleanup freed 2.4GB.,Benign
User logged in successfully from internal IP.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
System update completed with no errors.,Benign
Disk cleanup freed 2.4GB.,Benign
Routine health check ping returned 200 OK.,Benign
Service network-manager started successfully.,Benign
Routine health check ping returned 200 OK.,Benign
Routine health check ping returned 200 OK.,Benign
