pkt_len_mean,pkt_rate,flow_duration,dst_port_entropy,payload_entropy,syn_flag_ratio,bytes_per_second,unique_dst_ips,failed_conn_ratio,avg_ttl,label
12.0,2.0,0,0.0,0.0,0.0,36.0,67,0.0,64,Normal
0.0,42.0,0,0.05,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,284.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Lateral Movement
0.0,110.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Brute Force
0.0,1.0,0,0.64,0.0,0.0,0.0,134,1.0,64,Port Scan
15.476190476190476,20.0,0,0.0,0.0,0.0,4998.0,255,0.0,64,Normal
0.0,133.0,0,0.06,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.0,101.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Lateral Movement
0.0,285.0,0,0.08,0.0,0.0,0.0,255,1.0,64,Port Scan
371.5,1.0,0,0.05,0.0,0.0,1078.0,138,0.0,64,Normal
0.0,147.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
52.25,3.0,0,0.0,0.0,0.0,29264.0,168,0.0,64,Normal
0.0,78.0,0,0.05,1.0,0.99,0.0,255,0.01,64,Lateral Movement
283.5,1.0,0,0.04,0.0,0.0,567.0,113,0.0,64,Normal
17.357142857142858,13.0,0,0.0,0.0,0.0,1172.0,13,0.0,64,Normal
0.22842639593908629,196.0,0,0.01,0.0,0.0,90.0,255,0.0,64,Normal
0.3194444444444444,143.0,0,0.0,0.0,0.0,131.0,255,0.0,64,Normal
26.083333333333332,11.0,0,0.0,0.0,0.0,734.0,255,0.0,64,Normal
3.0,2.0,0,0.02,0.0,0.0,150.0,222,0.0,64,Normal
11.666666666666666,2.0,0,0.4,0.0,0.0,35.0,255,0.0,64,Normal
73.5,3.0,0,0.0,0.0,0.0,839.0,102,0.0,64,Normal
0.5432098765432098,80.0,0,0.01,0.0,0.0,169.0,255,0.0,64,Normal
2.015625,511.0,0,0.02,0.0,0.0,1032.0,255,0.0,64,DDoS
10.130434782608695,22.0,0,0.0,0.0,0.0,6317.0,255,0.0,64,Normal
57.25,3.0,0,0.0,0.0,0.0,2585.0,33,0.0,64,Normal
19.166666666666668,17.0,0,0.0,0.0,0.0,911.0,114,0.0,64,Normal
167.0,1.0,0,0.0,0.0,0.0,334.0,6,0.0,64,Brute Force
0.0,142.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Brute Force
123.0,0.047619047619047616,20,0.1,0.0,0.0,48.523809523809526,48,0.0,64,Normal
10.0,2.0,0,0.0,0.0,0.0,30.0,221,0.0,64,Normal
427.0,1.0,0,0.03,0.0,0.0,854.0,221,0.0,64,Normal
0.0,22.0,0,0.08,1.0,1.0,0.0,255,0.0,64,DDoS
74.0,1.0,0,0.0,0.0,0.0,3041.0,7,0.0,64,Normal
2.388888888888889,215.0,0,0.0,0.0,0.0,520.0,215,0.0,64,Normal
